"ca"	"year"	"edad.media"	"esperanza.vida"	"tasa.fecundidad"	"pib.capita"	"ratio.sexos"	"tasa.paro"	"tasa.suicidio"
"cataluña"	2008	40.67	81.626855	48.482721	0.739581851799187	98.8652057088076	11.75	5.77125880524351
"cataluña"	2009	40.7	81.893866	46.265154	-4.24961174643513	98.72689015872	16.9	5.88595690944455
"cataluña"	2010	40.85	82.263931	46.115366	0.23591860808021	98.3275279537344	17.86	5.56414803775261
"cataluña"	2011	41.04	82.566668	44.757066	-1.89393939393939	98.0242274168716	20.4	6.33984374274665
"cataluña"	2012	41.25	82.489613	43.141871	-1.98673014206995	97.7110057243137	23.81	6.94764749485795
"cataluña"	2013	41.5	82.973987	40.691949	-0.183577465866058	97.3091675434628	21.87	7.20181634044469
"extremadura"	2002	40.4	79.37852	37.93833	6.59847018707953	98.8930716889924	18.91	8.38730720842458
"extremadura"	2003	40.55	79.025246	38.419693	6.56177055416272	98.8663235885062	17.14	6.42515532114602
"extremadura"	2004	40.77	79.820227	37.941736	6.42544215479475	98.9126533994843	17.65	8.64886179118858
"extremadura"	2005	40.97	79.603133	38.020291	8.20246988870255	99.0032203931303	15.16	8.21124867259168
"extremadura"	2006	41.19	80.426847	38.272463	6.08707904748484	98.9617615439699	12.94	6.44345910658678
"extremadura"	2007	41.36	80.476176	37.523475	6.93319165891886	98.7951807228916	14.79	6.789053110579
"extremadura"	2008	41.52	81.030464	40.323	3.29772699043596	99.0281967974008	18.11	7.1054817881036
"extremadura"	2009	41.69	81.049456	38.840437	-2.57921000420849	98.6825505532927	21.21	6.62185575239702
"extremadura"	2010	41.9	81.205689	38.405307	1.09232288323871	98.6048405467992	23.95	7.31561929878434
"extremadura"	2011	42.09	81.736778	37.966228	-2.83865453879495	98.6322365323015	28.33	6.30990465734063
"extremadura"	2012	42.35	81.427613	36.428744	-4.00854486051772	98.6586734456065	33.97	6.85840109012481
"extremadura"	2013	42.63	81.848111	34.913722	0.36654012305275	98.5797283928411	32.4	6.70287426494832
