"","BE040301","BE040302","BE040303","BE040304","BE040305","BE040306","BE040307","BE040308","BE040309","BE040310","BE040311","BE040312","BE040313"
"SEP 1979",49916586,"_","_",16263532,6788354,"_",22082399,0,"_",3201117,198647,1382538,"_"
"OCT 1979",50704146,"_","_",16656077,6837216,"_",22407943,0,"_",3194974,201754,1406182,"_"
"NOV 1979",51545863,"_","_",17096390,6961926,"_",22728156,0,"_",3124992,204783,1429615,"_"
"DIC 1979",52991538,"_","_",17861148,6997085,"_",23341195,0,"_",3233637,207722,1350751,"_"
"ENE 1980",52816048,"_","_",17295193,7075685,"_",23587039,0,"_",3264331,210102,1383698,"_"
"FEB 1980",53647489,"_","_",17557325,7191573,"_",24005848,0,"_",3240892,212518,1439334,"_"
"MAR 1980",54666192,"_","_",17728451,7644952,"_",24300350,0,"_",3314498,214964,1462978,"_"
"ABR 1980",55250736,"_","_",17847902,7459906,"_",24843881,0,"_",3385772,217416,1495859,"_"
"MAY 1980",55986645,"_","_",17804797,7628893,"_",25291160,0,"_",3483646,219868,1558280,"_"
"JUN 1980",57236264,"_","_",18032118,7760941,"_",25652543,0,"_",3960093,222284,1608284,"_"
"JUL 1980",58651942,"_","_",18543014,7865469,"_",26428383,0,"_",3950368,224670,1640036,"_"
"AGO 1980",58716695,"_","_",18067524,7992457,"_",26778238,0,"_",3938372,227020,1713083,"_"
"SEP 1980",59294899,"_","_",17924333,8091360,"_",27036283,0,"_",4231155,229304,1782464,"_"
"OCT 1980",60412799,"_","_",18356178,8272277,"_",27632169,0,"_",4127457,231522,1793198,"_"
"NOV 1980",61681951,"_","_",18989855,8419585,"_",28027022,0,"_",4216509,233643,1795337,"_"
"DIC 1980",63205655,"_","_",19684601,7591901,"_",29390928,0,"_",4307448,235621,1995156,"_"
"ENE 1981",63102298,"_","_",18821956,7593427,"_",29832137,0,"_",4569988,237412,2047378,"_"
"FEB 1981",63746860,"_","_",18839758,7696080,"_",30424723,0,"_",4440536,239119,2106644,"_"
"MAR 1981",64144351,"_","_",18808866,7767667,"_",30630209,0,"_",4512080,240832,2184697,"_"
"ABR 1981",65380302,"_","_",19169756,7845852,"_",31391060,0,"_",4495529,242659,2235446,"_"
"MAY 1981",66127841,"_","_",19265209,7937284,"_",31925012,0,"_",4496953,244672,2258712,"_"
"JUN 1981",67321199,"_","_",19489152,8090170,"_",32405707,0,"_",4776646,246938,2312586,"_"
"JUL 1981",69132608,"_","_",20261152,8151533,"_",33462473,0,"_",4713401,249522,2294526,"_"
"AGO 1981",68664996,"_","_",19573522,8215829,"_",33656155,0,"_",4619313,252503,2347673,"_"
"SEP 1981",69325761,"_","_",19434105,8337312,"_",34126543,0,"_",4842661,255935,2329204,"_"
"OCT 1981",70637512,"_","_",19839289,8364171,"_",34953001,0,"_",4889233,259884,2331933,"_"
"NOV 1981",72049241,"_","_",20424807,8492121,"_",35488100,0,"_",4982937,264475,2396800,"_"
"DIC 1981",74259824,"_","_",21378235,8865031,"_",36384023,0,"_",4913322,269806,2449407,"_"
"ENE 1982",74121843,"_","_",20582357,8778172,"_",37055035,0,"_",4942645,275985,2487649,"_"
"FEB 1982",74724761,"_","_",20654039,8856791,"_",37781767,0,"_",4637373,282920,2511870,"_"
"MAR 1982",75477937,"_","_",20636953,8956631,"_",38137145,0,"_",4889991,290553,2566664,"_"
"ABR 1982",76719399,"_","_",21076455,9137259,"_",38666456,0,"_",4882749,298817,2657664,"_"
"MAY 1982",77358985,"_","_",21295656,9301510,"_",38943289,0,"_",4854820,307658,2656053,"_"
"JUN 1982",79043417,"_","_",21353563,9383632,"_",39627433,0,"_",5565144,317058,2796587,"_"
"JUL 1982",80876486,"_","_",21946258,9576317,"_",40636093,0,"_",5509586,326975,2881258,"_"
"AGO 1982",80593571,"_","_",20563353,9671529,"_",41799682,0,"_",5304773,337366,2916868,"_"
"SEP 1982",81378692,"_","_",20296233,9795884,"_",42307946,0,"_",5610123,348196,3020308,"_"
"OCT 1982",82626585,"_","_",20904974,9965869,"_",42432879,0,"_",5707439,359441,3255983,"_"
"NOV 1982",84231197,"_","_",21430739,10104095,"_",43391103,0,"_",5469661,371017,3464582,"_"
"DIC 1982",86138551,"_","_",22065186,9918160,"_",43226437,0,"_",6818368,382851,3727549,"_"
"ENE 1983",85438156,"_","_",21182497,9884672,"_",43477949,0,"_",6975839,394865,3762738,240405
"FEB 1983",86088902,"_","_",21273412,9975953,"_",44085759,1803,"_",6718570,407180,3868432,240405
"MAR 1983",87382833,"_","_",21456925,10054945,"_",44398429,1803,"_",7204813,419891,4088235,240405
"ABR 1983",88229689,"_","_",21761633,10032046,"_",45052156,1803,"_",6887424,433125,4303709,240405
"MAY 1983",88682701,"_","_",21589965,10176854,"_",45509292,1725,"_",6802868,446955,4397173,240405
"JUN 1983",90023427,"_","_",21598776,10335828,"_",45631081,1485,"_",7671126,461445,4565576,240405
"JUL 1983",91591955,"_","_",22117630,10388025,"_",46476410,1485,"_",7816661,476669,4556964,240405
"AGO 1983",91353581,"_","_",21165639,10553490,"_",47233607,1184,"_",7420077,492692,4728481,240405
"SEP 1983",92069772,"_","_",21022550,10718630,"_",47494110,781,"_",7634224,509604,4931058,240405
"OCT 1983",93467539,"_","_",21354068,10904692,"_",48529365,3594,"_",7405136,527454,4987228,240405
"NOV 1983",94580193,"_","_",22001647,11082122,"_",49074141,0,"_",7245628,546374,4870686,240405
"DIC 1983",96407624,"_","_",22996514,11205005,"_",49756716,319,"_",7312995,566484,4810315,240405
"ENE 1984",95626200,"_","_",21843466,11272673,"_",50176307,46945,"_",7074027,587898,4912234,240405
"FEB 1984",95116470,"_","_",21666096,11419032,"_",49990251,14364,"_",6724526,610508,4946462,240405
"MAR 1984",95169359,"_","_",21579364,11529203,"_",50085278,65090,"_",6658120,634200,4923599,240405
"ABR 1984",95628508,"_","_",21713672,11614060,"_",50293619,26006,"_",6664509,658872,4924182,240405
"MAY 1984",95663409,"_","_",21495781,11754835,"_",50477618,55738,"_",6597749,684451,4893380,240405
"JUN 1984",97039240,"_","_",21517327,11834884,"_",50024551,42780,"_",8218883,710871,4973129,240405
"JUL 1984",95865397,"_","_",21852337,11899216,"_",48736252,74742,"_",7961637,738049,4918310,240405
"AGO 1984",94850955,"_","_",20917108,12016780,"_",49277379,54824,"_",7099516,765960,5014617,240405
"SEP 1984",95028860,"_","_",20455225,12097298,"_",49211454,59717,"_",7533566,794616,5177106,240405
